team_name,team,mascot,league,resource,resource_path
Detroit Red Wings,Detroit,Red Wings,nhl,team://nhl/detroit_red_wings,/nhl/detroit_red_wings
Edmonton Oilers,Edmonton,Oilers,nhl,team://nhl/edmonton_oilers,/nhl/edmonton_oilers
Florida Panthers,Florida,Panthers,nhl,team://nhl/florida_panthers,/nhl/florida_panthers
Los Angeles Kings,Los Angeles,Kings,nhl,team://nhl/la_kings,/nhl/la_kings
Minnesota Wild,Minnesota,Wild,nhl,team://nhl/minnesota_wild,/nhl/minnesota_wild
Montreal Canadiens,Montreal,Canadiens,nhl,team://nhl/montreal_canadiens,/nhl/montreal_canadiens
Nashville Predators,Nashville,Predators,nhl,team://nhl/nashville_predators,/nhl/nashville_predators
New Jersey Devils,New Jersey,Devils,nhl,team://nhl/nj_devils,/nhl/nj_devils
New York Islanders,New York,Islanders,nhl,team://nhl/ny_islanders,/nhl/ny_islanders
New York Rangers,New York,Rangers,nhl,team://nhl/ny_rangers,/nhl/ny_rangers
Ottawa Senators,Ottawa,Senators,nhl,team://nhl/ottawa_senators,/nhl/ottawa_senators
Philadelphia Flyers,Philadelphia,Flyers,nhl,team://nhl/philadelphia_flyers,/nhl/philadelphia_flyers
Phoenix Coyotes,Phoenix,Coyotes,nhl,team://nhl/phoenix_coyotes,/nhl/phoenix_coyotes
Pittsburgh Penguins,Pittsburgh,Penguins,nhl,team://nhl/pittsburgh_penguins,/nhl/pittsburgh_penguins
San Jose Sharks,San Jose,Sharks,nhl,team://nhl/sj_sharks,/nhl/sj_sharks
St Louis Blues,St Louis,Blues,nhl,team://nhl/st_louis_blues,/nhl/st_louis_blues
Tampa Bay Lightning,Tampa Bay,Lightning,nhl,team://nhl/tampa_bay_lightning,/nhl/tampa_bay_lightning
Toronto Maple Leafs,Toronto,Maple Leafs,nhl,team://nhl/toronto_maple_leafs,/nhl/toronto_maple_leafs
Vancouver Canucks,Vancouver,Canucks,nhl,team://nhl/vancouver_canucks,/nhl/vancouver_canucks
Washington Capitals,Washington,Capitals,nhl,team://nhl/washington_capitals,/nhl/washington_capitals
Abilene Christian Wildcats,Abilene Christian,Wildcats,ncaaf,team://ncaa_football/abilene_christian_wildcats,/ncaa_football/abilene_christian_wildcats
Adams St Grizzlies,Adams St,Grizzlies,ncaaf,team://ncaa_football/adams_st_grizzlies,/ncaa_football/adams_st_grizzlies
Adrian Bulldogs,Adrian,Bulldogs,ncaaf,team://ncaa_football/adrian_bulldogs,/ncaa_football/adrian_bulldogs
Air Force Falcons,Air Force,Falcons,ncaaf,team://ncaa_football/air_force_falcons,/ncaa_football/air_force_falcons
Akron Zips,Akron,Zips,ncaaf,team://ncaa_football/akron_zips,/ncaa_football/akron_zips
Alabama A&M Bulldogs,Alabama,Bulldogs,ncaaf,team://ncaa_football/alabama_am_bulldogs,/ncaa_football/alabama_am_bulldogs
Alabama Crimson Tide,Alabama,Crimson Tide,ncaaf,team://ncaa_football/alabama_crimson_tide,/ncaa_football/alabama_crimson_tide
Alabama St Hornets,Alabama,Hornets,ncaaf,team://ncaa_football/alabama_st_hornets,/ncaa_football/alabama_st_hornets
Albany Panthers,Albany,Panthers,ncaaf,team://ncaa_football/albany_panthers,/ncaa_football/albany_panthers
Albany St GA Golden Rams,Albany,Golden Rams,ncaaf,team://ncaa_football/albany_st_ga_golden_rams,/ncaa_football/albany_st_ga_golden_rams
Albion Britons,Albion,Britons,ncaaf,team://ncaa_football/albion_britons,/ncaa_football/albion_britons
Albright Lions,Albright,Lions,ncaaf,team://ncaa_football/albright_lions,/ncaa_football/albright_lions
Alcorn St Braves,Alcorn,Braves,ncaaf,team://ncaa_football/alcorn_st_braves,/ncaa_football/alcorn_st_braves
Alfred Saxons,Alfred,Saxons,ncaaf,team://ncaa_football/alfred_saxons,/ncaa_football/alfred_saxons
Alfred State,Alfred,,ncaaf,team://ncaa_football/alfred_state,/ncaa_football/alfred_state
Allegheny Gators,Allegheny,Gators,ncaaf,team://ncaa_football/allegheny_gators,/ncaa_football/allegheny_gators
Allen University Yellow Jackets,Allen,Yellow Jackets,ncaaf,team://ncaa_football/allen_university_yellow_jackets,/ncaa_football/allen_university_yellow_jackets
Alma Scots,Alma,Scots,ncaaf,team://ncaa_football/alma_scots,/ncaa_football/alma_scots
American International Yellow Jackets,American,Yellow Jackets,ncaaf,team://ncaa_football/american_international_yellow_jackets,/ncaa_football/american_international_yellow_jackets
Amherst Lord Jeffs,Amherst,Jeffs,ncaaf,team://ncaa_football/amherst_lord_jeffs,/ncaa_football/amherst_lord_jeffs
Anderson IN Ravens,Anderson,Ravens,ncaaf,team://ncaa_football/anderson_in_ravens,/ncaa_football/anderson_in_ravens
Angelo St Rams,Angelo,Rams,ncaaf,team://ncaa_football/angelo_st_rams,/ncaa_football/angelo_st_rams
Appalachian St Mountaineers,Appalachian,Mountaineers,ncaaf,team://ncaa_football/appalachian_st_mountaineers,/ncaa_football/appalachian_st_mountaineers
Apprentice,Apprentice,,ncaaf,team://ncaa_football/apprentice,/ncaa_football/apprentice
Arizona St Sun Devils,Arizona St,Sun Devils,ncaaf,team://ncaa_football/arizona_st_sun_devils,/ncaa_football/arizona_st_sun_devils
Arizona Wildcats,Arizona,Wildcats,ncaaf,team://ncaa_football/arizona_wildcats,/ncaa_football/arizona_wildcats
Arkansas Monticello Boll Weevils,Arkansas,Boll Weevils,ncaaf,team://ncaa_football/arkansas_monticello_boll_weevils,/ncaa_football/arkansas_monticello_boll_weevils
Arkansas-Pine Bluff Golden Lions,Arkansas-Pine,Golden,ncaaf,team://ncaa_football/arkansas_pine_bluff_golden_lions,/ncaa_football/arkansas_pine_bluff_golden_lions
Arkansas Razorbacks,Arkansas,Razorbacks,ncaaf,team://ncaa_football/arkansas_razorbacks,/ncaa_football/arkansas_razorbacks
Arkansas St Red Wolves,Arkansas St,Red Wolves,ncaaf,team://ncaa_football/arkansas_st_red_wolves,/ncaa_football/arkansas_st_red_wolves
Arkansas Tech Golden Suns,Arkansas Tech,Golden Suns,ncaaf,team://ncaa_football/arkansas_tech_golden_suns,/ncaa_football/arkansas_tech_golden_suns
Army Black Knights,Army,Black Knights,ncaaf,team://ncaa_football/army_black_knights,/ncaa_football/army_black_knights
Ashland Eagles,Ashland,Eagles,ncaaf,team://ncaa_football/ashland_eagles,/ncaa_football/ashland_eagles
Assumption Greyhounds,Assumption,Greyhounds,ncaaf,team://ncaa_football/assumption_greyhounds,/ncaa_football/assumption_greyhounds
Auburn Tigers,Auburn,Tigers,ncaaf,team://ncaa_football/auburn_tigers,/ncaa_football/auburn_tigers
Augsburg Auggies,Augsburg,Auggies,ncaaf,team://ncaa_football/augsburg_auggies,/ncaa_football/augsburg_auggies
Augustana Illinois Vikings,Augustana,Vikings,ncaaf,team://ncaa_football/augustana_illinois_vikings,/ncaa_football/augustana_illinois_vikings
Augustana SD Vikings,Augustana SD,Vikings,ncaaf,team://ncaa_football/augustana_sd_vikings,/ncaa_football/augustana_sd_vikings
Aurora Spartans,Aurora,Spartans,ncaaf,team://ncaa_football/aurora_spartans,/ncaa_football/aurora_spartans
Austin Kangaroos,Austin,Kangaroos,ncaaf,team://ncaa_football/austin_kangaroos,/ncaa_football/austin_kangaroos
Austin Peay Governors,Austin Peay,Governors,ncaaf,team://ncaa_football/austin_peay_governors,/ncaa_football/austin_peay_governors
Averett Cougars,Averett,Cougars,ncaaf,team://ncaa_football/averett_cougars,/ncaa_football/averett_cougars
Azusa Pacific Cougars,Azusa Pacific,Cougars,ncaaf,team://ncaa_football/azusa_pacific_cougars,/ncaa_football/azusa_pacific_cougars
Bacone Warriors,Bacone,Warriors,ncaaf,team://ncaa_football/bacone_warriors,/ncaa_football/bacone_warriors
Baker Wildcats,Baker,Wildcats,ncaaf,team://ncaa_football/baker_wildcats,/ncaa_football/baker_wildcats
Baldwin Wallace Yellow Jackets,Baldwin Wallace,Yellow Jackets,ncaaf,team://ncaa_football/baldwin_wallace_yellow_jackets,/ncaa_football/baldwin_wallace_yellow_jackets
Ball St Cardinals,Ball St,Cardinals,ncaaf,team://ncaa_football/ball_st_cardinals,/ncaa_football/ball_st_cardinals
Barber-Scotia,Barber-Scotia,,ncaaf,team://ncaa_football/barber_scotia,/ncaa_football/barber_scotia
Bates,Bates,,ncaaf,team://ncaa_football/bates,/ncaa_football/bates
Baylor Bears,Baylor,Bears,ncaaf,team://ncaa_football/baylor_bears,/ncaa_football/baylor_bears
Becker College,Becker College,,ncaaf,team://ncaa_football/becker_college,/ncaa_football/becker_college
Belhaven Blazers,Belhaven,Blazers,ncaaf,team://ncaa_football/belhaven_blazers,/ncaa_football/belhaven_blazers
Beloit,Beloit,,ncaaf,team://ncaa_football/beloit,/ncaa_football/beloit
Bemidji St Beavers,Bemidji St,Beavers,ncaaf,team://ncaa_football/bemidji_st_beavers,/ncaa_football/bemidji_st_beavers
Benedict Col Tigers,Benedict Col,Tigers,ncaaf,team://ncaa_football/benedict_col_tigers,/ncaa_football/benedict_col_tigers
Benedictine,Benedictine,,ncaaf,team://ncaa_football/benedictine,/ncaa_football/benedictine
Benedictine KS,Benedictine KS,,ncaaf,team://ncaa_football/benedictine_ks,/ncaa_football/benedictine_ks
Bentley Falcons,Bentley,Falcons,ncaaf,team://ncaa_football/bentley_falcons,/ncaa_football/bentley_falcons
Bethany WV Bison,Bethany WV,Bison,ncaaf,team://ncaa_football/bethany_wv_bison,/ncaa_football/bethany_wv_bison
Bethel MN Royals,Bethel MN,Royals,ncaaf,team://ncaa_football/bethel_mn_royals,/ncaa_football/bethel_mn_royals
Bethel TN Wildcats,Bethel TN,Wildcats,ncaaf,team://ncaa_football/bethel_tn_wildcats,/ncaa_football/bethel_tn_wildcats
Bethune Cookman Wildcats,Bethune Cookman,Wildcats,ncaaf,team://ncaa_football/bethune_cookman_wildcats,/ncaa_football/bethune_cookman_wildcats
Birmingham-Southern Panthers,Birmingham-Southern,Panthers,ncaaf,team://ncaa_football/birmingham_southern_panthers,/ncaa_football/birmingham_southern_panthers
Blackburn Battlin' Beavers,Blackburn,Battlin' Beavers,ncaaf,team://ncaa_football/blackburn_battlin_beavers,/ncaa_football/blackburn_battlin_beavers
Black Hills St Yellow Jackets,Black Hills St,Yellow Jackets,ncaaf,team://ncaa_football/black_hills_st_yellow_jackets,/ncaa_football/black_hills_st_yellow_jackets
Bloomsburg Huskies,Bloomsburg,Huskies,ncaaf,team://ncaa_football/bloomsburg_huskies,/ncaa_football/bloomsburg_huskies
Bluffton Beavers,Bluffton,Beavers,ncaaf,team://ncaa_football/bluffton_beavers,/ncaa_football/bluffton_beavers
Boise St Broncos,Boise St,Broncos,ncaaf,team://ncaa_football/boise_st_broncos,/ncaa_football/boise_st_broncos
Boston College Eagles,Boston College,Eagles,ncaaf,team://ncaa_football/boston_college_eagles,/ncaa_football/boston_college_eagles
Bowdoin Polar Bears,Bowdoin,Bears,ncaaf,team://ncaa_football/bowdoin_polar_bears,/ncaa_football/bowdoin_polar_bears
Bowie St Bulldogs,Bowie St,Bulldogs,ncaaf,team://ncaa_football/bowie_st_bulldogs,/ncaa_football/bowie_st_bulldogs
Bowling Green Falcons,Bowling Green,Falcons,ncaaf,team://ncaa_football/bowling_green_falcons,/ncaa_football/bowling_green_falcons
Brevard Tornadoes,Brevard,Tornadoes,ncaaf,team://ncaa_football/brevard_tornadoes,/ncaa_football/brevard_tornadoes
Bridgewater MA Bears,Bridgewater MA,Bears,ncaaf,team://ncaa_football/bridgewater_ma_bears,/ncaa_football/bridgewater_ma_bears
Bridgewater VA Eagles,Bridgewater VA,Eagles,ncaaf,team://ncaa_football/bridgewater_va_eagles,/ncaa_football/bridgewater_va_eagles
Brockport St,Brockport St,,ncaaf,team://ncaa_football/brockport_st,/ncaa_football/brockport_st
Brown Bears,Brown,Bears,ncaaf,team://ncaa_football/brown_bears,/ncaa_football/brown_bears
Bryant Bulldogs,Bryant,Bulldogs,ncaaf,team://ncaa_football/bryant_bulldogs,/ncaa_football/bryant_bulldogs
Bucknell Bison,Bucknell,Bison,ncaaf,team://ncaa_football/bucknell_bison,/ncaa_football/bucknell_bison
Buena Vista Beavers,Buena Vista,Beavers,ncaaf,team://ncaa_football/buena_vista_beavers,/ncaa_football/buena_vista_beavers
Buffalo Bulls,Buffalo,Bulls,ncaaf,team://ncaa_football/buffalo_bulls,/ncaa_football/buffalo_bulls
Buffalo St,Buffalo St,,ncaaf,team://ncaa_football/buffalo_st,/ncaa_football/buffalo_st
Butler Bulldogs,Butler,Bulldogs,ncaaf,team://ncaa_football/butler_bulldogs,/ncaa_football/butler_bulldogs
BYU Cougars,BYU,Cougars,ncaaf,team://ncaa_football/byu_cougars,/ncaa_football/byu_cougars
Cal Golden Bears,Cal,Golden Bears,ncaaf,team://ncaa_football/cal_golden_bears,/ncaa_football/cal_golden_bears
California PA Vulcans,California PA,Vulcans,ncaaf,team://ncaa_football/california_pa_vulcans,/ncaa_football/california_pa_vulcans
Cal Poly Mustangs,Cal Poly,Mustangs,ncaaf,team://ncaa_football/cal_poly_mustangs,/ncaa_football/cal_poly_mustangs
CA Lutheran Kingsmen,CA Lutheran,Kingsmen,ncaaf,team://ncaa_football/ca_lutheran_kingsmen,/ncaa_football/ca_lutheran_kingsmen
Campbell Camels,Campbell,Camels,ncaaf,team://ncaa_football/campbell_camels,/ncaa_football/campbell_camels
Campbellsville Tigers,Campbellsville,Tigers,ncaaf,team://ncaa_football/campbellsville_tigers,/ncaa_football/campbellsville_tigers
Capital Crusaders,Capital,Crusaders,ncaaf,team://ncaa_football/capital_crusaders,/ncaa_football/capital_crusaders
Carleton Knights,Carleton,Knights,ncaaf,team://ncaa_football/carleton_knights,/ncaa_football/carleton_knights
Carnegie Mellon Tartans,Carnegie Mellon,Tartans,ncaaf,team://ncaa_football/carnegie_mellon_tartans,/ncaa_football/carnegie_mellon_tartans
Carroll MT Saints,Carroll,Saints,ncaaf,team://ncaa_football/carroll_mt_saints,/ncaa_football/carroll_mt_saints
Carroll WI Pioneers,Carroll,Pioneers,ncaaf,team://ncaa_football/carroll_wi_pioneers,/ncaa_football/carroll_wi_pioneers
Carson Newman Eagles,Carson,Eagles,ncaaf,team://ncaa_football/carson_newman_eagles,/ncaa_football/carson_newman_eagles
