team_name,team,mascot,league,resource,resource_path
City College NY Beavers,City College NY Beavers,City College NY Beavers,ncaab, team://ncaa_basketball/city_college_ny_beavers,/ncaa_basketball/city_college_ny_beavers
Claflin Panthers,Claflin,Panthers,ncaab, team://ncaa_basketball/claflin_panthers,/ncaa_basketball/claflin_panthers
Claremont MS,Claremont MS,Claremont MS,ncaab, team://ncaa_basketball/claremont_ms,/ncaa_basketball/claremont_ms
Clarion Golden Eagles,Clarion Golden Eagles,Clarion Golden Eagles,ncaab, team://ncaa_basketball/clarion_golden_eagles,/ncaa_basketball/clarion_golden_eagles
Clark Atlanta Panthers,Clark Atlanta Panthers,Clark Atlanta Panthers,ncaab, team://ncaa_basketball/clark_atlanta_panthers,/ncaa_basketball/clark_atlanta_panthers
Clarke Crusaders,Clarke,Crusaders,ncaab, team://ncaa_basketball/clarke_crusaders,/ncaa_basketball/clarke_crusaders
Clark MA Cougars,Clark MA Cougars,Clark MA Cougars,ncaab, team://ncaa_basketball/clark_ma_cougars,/ncaa_basketball/clark_ma_cougars
Clarkson Golden Knights,Clarkson Golden Knights,Clarkson Golden Knights,ncaab, team://ncaa_basketball/clarkson_golden_knights,/ncaa_basketball/clarkson_golden_knights
Clayton State Lakers,Clayton State Lakers,Clayton State Lakers,ncaab, team://ncaa_basketball/clayton_state_lakers,/ncaa_basketball/clayton_state_lakers
Clemson Tigers,Clemson,Tigers,ncaab, team://ncaa_basketball/clemson_tigers,/ncaa_basketball/clemson_tigers
Cleveland St Vikings,Cleveland St ,Vikings,ncaab, team://ncaa_basketball/cleveland_st_vikings,/ncaa_basketball/cleveland_st_vikings
Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,ncaab, team://ncaa_basketball/coastal_carolina_chanticleers,/ncaa_basketball/coastal_carolina_chanticleers
Coe College Kohawks,Coe College Kohawks,Coe College Kohawks,ncaab, team://ncaa_basketball/coe_college_kohawks,/ncaa_basketball/coe_college_kohawks
Coker Cobras,Coker,Cobras,ncaab, team://ncaa_basketball/coker_cobras,/ncaa_basketball/coker_cobras
Colby White Mules,Colby White Mules,Colby White Mules,ncaab, team://ncaa_basketball/colby_white_mules,/ncaa_basketball/colby_white_mules
Colgate Raiders,Colgate,Raiders,ncaab, team://ncaa_basketball/colgate_raiders,/ncaa_basketball/colgate_raiders
College Of Charleston Cougars,College Of Charleston Cougars,College Of Charleston Cougars,ncaab, team://ncaa_basketball/college_of_charleston_cougars,/ncaa_basketball/college_of_charleston_cougars
Colorado Buffaloes,Colorado,Buffaloes,ncaab, team://ncaa_basketball/colorado_buffaloes,/ncaa_basketball/colorado_buffaloes
Colorado Christian Cougars,Colorado Christian Cougars,Colorado Christian Cougars,ncaab, team://ncaa_basketball/colorado_christian_cougars,/ncaa_basketball/colorado_christian_cougars
Colorado College Tigers,Colorado College Tigers,Colorado College Tigers,ncaab, team://ncaa_basketball/colorado_college_tigers,/ncaa_basketball/colorado_college_tigers
Colorado CS Mountain Lions,Colorado CS Mountain Lions,Colorado CS Mountain Lions,ncaab, team://ncaa_basketball/colorado_cs_mountain_lions,/ncaa_basketball/colorado_cs_mountain_lions
Colorado Mines Orediggers,Colorado Mines Orediggers,Colorado Mines Orediggers,ncaab, team://ncaa_basketball/colorado_mines_orediggers,/ncaa_basketball/colorado_mines_orediggers
Colorado State Rams,Colorado State ,Rams,ncaab, team://ncaa_basketball/colorado_state_rams,/ncaa_basketball/colorado_state_rams
Colorado St Rams,Colorado St ,Rams,ncaab, team://ncaa_basketball/colorado_st_rams,/ncaa_basketball/colorado_st_rams
Columbia Lions,Columbia,Lions,ncaab, team://ncaa_basketball/columbia_lions,/ncaa_basketball/columbia_lions
Columbia Union Pioneers,Columbia Union Pioneers,Columbia Union Pioneers,ncaab, team://ncaa_basketball/columbia_union_pioneers,/ncaa_basketball/columbia_union_pioneers
Columbus Cougars,Columbus,Cougars,ncaab, team://ncaa_basketball/columbus_cougars,/ncaa_basketball/columbus_cougars
Concordia CA Eagles,Concordia CA Eagles,Concordia CA Eagles,ncaab, team://ncaa_basketball/concordia_ca_eagles,/ncaa_basketball/concordia_ca_eagles
Concordia Chicago Cougars,Concordia Chicago Cougars,Concordia Chicago Cougars,ncaab, team://ncaa_basketball/concordia_chicago_cougars,/ncaa_basketball/concordia_chicago_cougars
Concordia MI Cardinals,Concordia MI Cardinals,Concordia MI Cardinals,ncaab, team://ncaa_basketball/concordia_mi_cardinals,/ncaa_basketball/concordia_mi_cardinals
Concordia MN Cobbers,Concordia MN Cobbers,Concordia MN Cobbers,ncaab, team://ncaa_basketball/concordia_mn_cobbers,/ncaa_basketball/concordia_mn_cobbers
Concordia NY Clippers,Concordia NY Clippers,Concordia NY Clippers,ncaab, team://ncaa_basketball/concordia_ny_clippers,/ncaa_basketball/concordia_ny_clippers
Concordia OR Cavaliers,Concordia OR Cavaliers,Concordia OR Cavaliers,ncaab, team://ncaa_basketball/concordia_or_cavaliers,/ncaa_basketball/concordia_or_cavaliers
Concordia St Pl Golden Bears,Concordia St Pl Golden Bears,Concordia St Pl Golden Bears,ncaab, team://ncaa_basketball/concordia_st_pl_golden_bears,/ncaa_basketball/concordia_st_pl_golden_bears
Concordia TX Tornadoes,Concordia TX Tornadoes,Concordia TX Tornadoes,ncaab, team://ncaa_basketball/concordia_tx_tornadoes,/ncaa_basketball/concordia_tx_tornadoes
Concordia WI Falcons,Concordia WI Falcons,Concordia WI Falcons,ncaab, team://ncaa_basketball/concordia_wi_falcons,/ncaa_basketball/concordia_wi_falcons
Concord University,Concord,University,ncaab, team://ncaa_basketball/concord_university,/ncaa_basketball/concord_university
Connecticut College Camels,Connecticut College Camels,Connecticut College Camels,ncaab, team://ncaa_basketball/connecticut_college_camels,/ncaa_basketball/connecticut_college_camels
Connecticut Huskies,Connecticut,Huskies,ncaab, team://ncaa_basketball/connecticut_huskies,/ncaa_basketball/connecticut_huskies
Coppin St Eagles,Coppin St ,Eagles,ncaab, team://ncaa_basketball/coppin_st_eagles,/ncaa_basketball/coppin_st_eagles
Cornell Big Red,Cornell ,Big Red,ncaab, team://ncaa_basketball/cornell_big_red,/ncaa_basketball/cornell_big_red
Cornell College Rams,Cornell College Rams,Cornell College Rams,ncaab, team://ncaa_basketball/cornell_college_rams,/ncaa_basketball/cornell_college_rams
Cortland St,Cortland,St,ncaab, team://ncaa_basketball/cortland_st,/ncaa_basketball/cortland_st
Covenant Scots,Covenant,Scots,ncaab, team://ncaa_basketball/covenant_scots,/ncaa_basketball/covenant_scots
Creighton Bluejays,Creighton,Bluejays,ncaab, team://ncaa_basketball/creighton_bluejays,/ncaa_basketball/creighton_bluejays
Crown,Crown,Crown,ncaab, team://ncaa_basketball/crown,/ncaa_basketball/crown
CS Stanislaus,CS Stanislaus,CS Stanislaus,ncaab, team://ncaa_basketball/cs_stanislaus,/ncaa_basketball/cs_stanislaus
CSU Thunderwolves,CSU,Thunderwolves,ncaab, team://ncaa_basketball/csu_thunderwolves,/ncaa_basketball/csu_thunderwolves
Culver Stockton Wildcats,Culver Stockton Wildcats,Culver Stockton Wildcats,ncaab, team://ncaa_basketball/culver_stockton_wildcats,/ncaa_basketball/culver_stockton_wildcats
Cumberland KY Patriots,Cumberland KY Patriots,Cumberland KY Patriots,ncaab, team://ncaa_basketball/cumberland_ky_patriots,/ncaa_basketball/cumberland_ky_patriots
Cumberland TN Bulldogs,Cumberland TN Bulldogs,Cumberland TN Bulldogs,ncaab, team://ncaa_basketball/cumberland_tn_bulldogs,/ncaa_basketball/cumberland_tn_bulldogs
Curry Colonels,Curry,Colonels,ncaab, team://ncaa_basketball/curry_colonels,/ncaa_basketball/curry_colonels
Daeman Wildcats,Daeman,Wildcats,ncaab, team://ncaa_basketball/daeman_wildcats,/ncaa_basketball/daeman_wildcats
Dakota St Trojans,Dakota St ,Trojans,ncaab, team://ncaa_basketball/dakota_st_trojans,/ncaa_basketball/dakota_st_trojans
Dakota Wesleyan Tigers,Dakota Wesleyan Tigers,Dakota Wesleyan Tigers,ncaab, team://ncaa_basketball/dakota_wesleyan_tigers,/ncaa_basketball/dakota_wesleyan_tigers
Dallas Baptist Patriots,Dallas Baptist Patriots,Dallas Baptist Patriots,ncaab, team://ncaa_basketball/dallas_baptist_patriots,/ncaa_basketball/dallas_baptist_patriots
Dallas Christian Crusaders,Dallas Christian Crusaders,Dallas Christian Crusaders,ncaab, team://ncaa_basketball/dallas_christian_crusaders,/ncaa_basketball/dallas_christian_crusaders
Dallas Crusaders,Dallas,Crusaders,ncaab, team://ncaa_basketball/dallas_crusaders,/ncaa_basketball/dallas_crusaders
Dana Vikings,Dana,Vikings,ncaab, team://ncaa_basketball/dana_vikings,/ncaa_basketball/dana_vikings
Daniel Webster Eagles,Daniel Webster Eagles,Daniel Webster Eagles,ncaab, team://ncaa_basketball/daniel_webster_eagles,/ncaa_basketball/daniel_webster_eagles
Dartmouth Big Green,Dartmouth ,Big Green,ncaab, team://ncaa_basketball/dartmouth_big_green,/ncaa_basketball/dartmouth_big_green
Davenport,Davenport,Davenport,ncaab, team://ncaa_basketball/davenport,/ncaa_basketball/davenport
Davidson Wildcats,Davidson,Wildcats,ncaab, team://ncaa_basketball/davidson_wildcats,/ncaa_basketball/davidson_wildcats
Davis & Elkins Senators,Davis & Elkins Senators,Davis & Elkins Senators,ncaab, team://ncaa_basketball/davis_elkins_senators,/ncaa_basketball/davis_elkins_senators
Dayton Flyers,Dayton,Flyers,ncaab, team://ncaa_basketball/dayton_flyers,/ncaa_basketball/dayton_flyers
Defiance Yellow Jackets,Defiance Yellow Jackets,Defiance Yellow Jackets,ncaab, team://ncaa_basketball/defiance_yellow_jackets,/ncaa_basketball/defiance_yellow_jackets
Delaware Blue Hens,Delaware ,Blue Hens,ncaab, team://ncaa_basketball/delaware_blue_hens,/ncaa_basketball/delaware_blue_hens
Delaware St Hornets,Delaware St ,Hornets,ncaab, team://ncaa_basketball/delaware_st_hornets,/ncaa_basketball/delaware_st_hornets
Delaware Valley Aggies,Delaware Valley Aggies,Delaware Valley Aggies,ncaab, team://ncaa_basketball/delaware_valley_aggies,/ncaa_basketball/delaware_valley_aggies
Delta St Statesmen,Delta St ,Statesmen,ncaab, team://ncaa_basketball/delta_st_statesmen,/ncaa_basketball/delta_st_statesmen
Denison Big Red,Denison Big Red,Denison Big Red,ncaab, team://ncaa_basketball/denison_big_red,/ncaa_basketball/denison_big_red
Denver Pioneers,Denver,Pioneers,ncaab, team://ncaa_basketball/denver_pioneers,/ncaa_basketball/denver_pioneers
Depaul Blue Demons,Depaul,Blue Demons,ncaab, team://ncaa_basketball/depaul_blue_demons,/ncaa_basketball/depaul_blue_demons
Depauw Tigers,Depauw,Tigers,ncaab, team://ncaa_basketball/depauw_tigers,/ncaa_basketball/depauw_tigers
Detroit Mercy Titans,Detroit Mercy Titans,Detroit Mercy Titans,ncaab, team://ncaa_basketball/detroit_mercy_titans,/ncaa_basketball/detroit_mercy_titans
Dickinson PA Red Devils,Dickinson PA Red Devils,Dickinson PA Red Devils,ncaab, team://ncaa_basketball/dickinson_pa_red_devils,/ncaa_basketball/dickinson_pa_red_devils
Dickinson St Blue Hawks,Dickinson St Blue Hawks,Dickinson St Blue Hawks,ncaab, team://ncaa_basketball/dickinson_st_blue_hawks,/ncaa_basketball/dickinson_st_blue_hawks
Dillard Blue Devils,Dillard Blue Devils,Dillard Blue Devils,ncaab, team://ncaa_basketball/dillard_blue_devils,/ncaa_basketball/dillard_blue_devils
District Of Columbia,District Of Columbia,District Of Columbia,ncaab, team://ncaa_basketball/district_of_columbia,/ncaa_basketball/district_of_columbia
Dixie State Red Storm,Dixie State Red Storm,Dixie State Red Storm,ncaab, team://ncaa_basketball/dixie_state_red_storm,/ncaa_basketball/dixie_state_red_storm
Doane Tigers,Doane,Tigers,ncaab, team://ncaa_basketball/doane_tigers,/ncaa_basketball/doane_tigers
Dominican IL Stars,Dominican IL Stars,Dominican IL Stars,ncaab, team://ncaa_basketball/dominican_il_stars,/ncaa_basketball/dominican_il_stars
Dominican NY Chargers,Dominican NY Chargers,Dominican NY Chargers,ncaab, team://ncaa_basketball/dominican_ny_chargers,/ncaa_basketball/dominican_ny_chargers
Dominican Penguins,Dominican,Penguins,ncaab, team://ncaa_basketball/dominican_penguins,/ncaa_basketball/dominican_penguins
Dowling Golden Lions,Dowling Golden Lions,Dowling Golden Lions,ncaab, team://ncaa_basketball/dowling_golden_lions,/ncaa_basketball/dowling_golden_lions
Drake Bulldogs,Drake,Bulldogs,ncaab, team://ncaa_basketball/drake_bulldogs,/ncaa_basketball/drake_bulldogs
Drew Rangers,Drew,Rangers,ncaab, team://ncaa_basketball/drew_rangers,/ncaa_basketball/drew_rangers
Drexel Dragons,Drexel,Dragons,ncaab, team://ncaa_basketball/drexel_dragons,/ncaa_basketball/drexel_dragons
Drury Panthers,Drury,Panthers,ncaab, team://ncaa_basketball/drury_panthers,/ncaa_basketball/drury_panthers
Dubuque Spartans,Dubuque,Spartans,ncaab, team://ncaa_basketball/dubuque_spartans,/ncaa_basketball/dubuque_spartans
Duke Blue Devils,Duke,Blue Devils,ncaab, team://ncaa_basketball/duke_blue_devils,/ncaa_basketball/duke_blue_devils
Duquesne Dukes,Duquesne,Dukes,ncaab, team://ncaa_basketball/duquesne_dukes,/ncaa_basketball/duquesne_dukes
Dyke College,Dyke College,Dyke College,ncaab, team://ncaa_basketball/dyke_college,/ncaa_basketball/dyke_college
Earlham Hustlin' Quakers,Earlham Hustlin' Quakers,Earlham Hustlin' Quakers,ncaab, team://ncaa_basketball/earlham_hustlin_quakers,/ncaa_basketball/earlham_hustlin_quakers
East Carolina Pirates,East Carolina ,Pirates,ncaab, team://ncaa_basketball/east_carolina_pirates,/ncaa_basketball/east_carolina_pirates
East Central OK Tigers,East Central OK ,Tigers,ncaab, team://ncaa_basketball/east_central_ok_tigers,/ncaa_basketball/east_central_ok_tigers
Eastern Illinois Panthers,Eastern Illinois ,Panthers,ncaab, team://ncaa_basketball/eastern_illinois_panthers,/ncaa_basketball/eastern_illinois_panthers
Eastern Kentucky Colonels,Eastern Kentucky ,Colonels,ncaab, team://ncaa_basketball/eastern_kentucky_colonels,/ncaa_basketball/eastern_kentucky_colonels
Eastern Michigan Eagles,Eastern Michigan ,Eagles,ncaab, team://ncaa_basketball/eastern_michigan_eagles,/ncaa_basketball/eastern_michigan_eagles
Eastern Montana,Eastern Montana,Eastern Montana,ncaab, team://ncaa_basketball/eastern_montana,/ncaa_basketball/eastern_montana
Eastern New Mexico Greyhounds,Eastern New Mexico Greyhounds,Eastern New Mexico Greyhounds,ncaab, team://ncaa_basketball/eastern_new_mexico_greyhounds,/ncaa_basketball/eastern_new_mexico_greyhounds
Eastern Oregon Mountaineers,Eastern Oregon Mountaineers,Eastern Oregon Mountaineers,ncaab, team://ncaa_basketball/eastern_oregon_mountaineers,/ncaa_basketball/eastern_oregon_mountaineers
Eastern University Eagles,Eastern University Eagles,Eastern University Eagles,ncaab, team://ncaa_basketball/eastern_university_eagles,/ncaa_basketball/eastern_university_eagles
Eastern Washington Eagles,Eastern Washington Eagles,Eastern Washington Eagles,ncaab, team://ncaa_basketball/eastern_washington_eagles,/ncaa_basketball/eastern_washington_eagles
East Mennonite Royals,East Mennonite Royals,East Mennonite Royals,ncaab, team://ncaa_basketball/east_mennonite_royals,/ncaa_basketball/east_mennonite_royals
East Stroudsbrg Warriors,East Stroudsbrg Warriors,East Stroudsbrg Warriors,ncaab, team://ncaa_basketball/east_stroudsbrg_warriors,/ncaa_basketball/east_stroudsbrg_warriors
East Tennessee St Buccaneers,East Tennessee St ,Buccaneers,ncaab, team://ncaa_basketball/east_tennessee_st_buccaneers,/ncaa_basketball/east_tennessee_st_buccaneers
East Texas Baptist Tigers,East Texas Baptist Tigers,East Texas Baptist Tigers,ncaab, team://ncaa_basketball/east_texas_baptist_tigers,/ncaa_basketball/east_texas_baptist_tigers
East-West University Phantoms,East-West University Phantoms,East-West University Phantoms,ncaab, team://ncaa_basketball/east_west_university_phantoms,/ncaa_basketball/east_west_university_phantoms
Ecclesia College,Ecclesia,College,ncaab, team://ncaa_basketball/ecclesia_college,/ncaa_basketball/ecclesia_college
Eckerd College Tritons,Eckerd College Tritons,Eckerd College Tritons,ncaab, team://ncaa_basketball/eckerd_college_tritons,/ncaa_basketball/eckerd_college_tritons
Edinboro Scots,Edinboro,Scots,ncaab, team://ncaa_basketball/edinboro_scots,/ncaa_basketball/edinboro_scots
Edward Waters Tigers,Edward Waters Tigers,Edward Waters Tigers,ncaab, team://ncaa_basketball/edward_waters_tigers,/ncaa_basketball/edward_waters_tigers
Elizabeth City Vikings,Elizabeth City Vikings,Elizabeth City Vikings,ncaab, team://ncaa_basketball/elizabeth_city_vikings,/ncaa_basketball/elizabeth_city_vikings
Elizabethtown College Blue Jays,Elizabethtown College Blue Jays,Elizabethtown College Blue Jays,ncaab, team://ncaa_basketball/elizabethtown_college_blue_jays,/ncaa_basketball/elizabethtown_college_blue_jays
Elmhurst Bluejays,Elmhurst,Bluejays,ncaab, team://ncaa_basketball/elmhurst_bluejays,/ncaa_basketball/elmhurst_bluejays
Elmira Soaring Eagles,Elmira Soaring Eagles,Elmira Soaring Eagles,ncaab, team://ncaa_basketball/elmira_soaring_eagles,/ncaa_basketball/elmira_soaring_eagles
Elon University Phoenix,Elon University Phoenix,Elon University Phoenix,ncaab, team://ncaa_basketball/elon_university_phoenix,/ncaa_basketball/elon_university_phoenix
Embry Riddle,Embry,Riddle,ncaab, team://ncaa_basketball/embry_riddle,/ncaa_basketball/embry_riddle
Emmanuel,Emmanuel,Emmanuel,ncaab, team://ncaa_basketball/emmanuel,/ncaa_basketball/emmanuel
Emory Eagles,Emory,Eagles,ncaab, team://ncaa_basketball/emory_eagles,/ncaa_basketball/emory_eagles
Emory & Henry Wasps,Emory & Henry Wasps,Emory & Henry Wasps,ncaab, team://ncaa_basketball/emory_henry_wasps,/ncaa_basketball/emory_henry_wasps
Emporia St Hornets,Emporia St ,Hornets,ncaab, team://ncaa_basketball/emporia_st_hornets,/ncaa_basketball/emporia_st_hornets
Erskine Flying Fleet,Erskine Flying Fleet,Erskine Flying Fleet,ncaab, team://ncaa_basketball/erskine_flying_fleet,/ncaa_basketball/erskine_flying_fleet
Eureka Red Devils,Eureka Red Devils,Eureka Red Devils,ncaab, team://ncaa_basketball/eureka_red_devils,/ncaa_basketball/eureka_red_devils
Evangel Crusaders,Evangel,Crusaders,ncaab, team://ncaa_basketball/evangel_crusaders,/ncaa_basketball/evangel_crusaders
Evansville Purple Aces,Evansville Purple Aces,Evansville Purple Aces,ncaab, team://ncaa_basketball/evansville_purple_aces,/ncaa_basketball/evansville_purple_aces
Evergreen State Geoducks,Evergreen State Geoducks,Evergreen State Geoducks,ncaab, team://ncaa_basketball/evergreen_state_geoducks,/ncaa_basketball/evergreen_state_geoducks
Fairbanks Nanooks,Fairbanks,Nanooks,ncaab, team://ncaa_basketball/fairbanks_nanooks,/ncaa_basketball/fairbanks_nanooks
Fairfield University Stags,Fairfield University Stags,Fairfield University Stags,ncaab, team://ncaa_basketball/fairfield_university_stags,/ncaa_basketball/fairfield_university_stags
Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,ncaab, team://ncaa_basketball/fairleigh_dickinson_knights,/ncaa_basketball/fairleigh_dickinson_knights
Fairmont St Falcons,Fairmont St ,Falcons,ncaab, team://ncaa_basketball/fairmont_st_falcons,/ncaa_basketball/fairmont_st_falcons
Faith Baptist Eagles,Faith Baptist Eagles,Faith Baptist Eagles,ncaab, team://ncaa_basketball/faith_baptist_eagles,/ncaa_basketball/faith_baptist_eagles
Faulkner Eagles,Faulkner,Eagles,ncaab, team://ncaa_basketball/faulkner_eagles,/ncaa_basketball/faulkner_eagles
Fayetteville St Broncos,Fayetteville St ,Broncos,ncaab, team://ncaa_basketball/fayetteville_st_broncos,/ncaa_basketball/fayetteville_st_broncos
FDU Devils,FDU,Devils,ncaab, team://ncaa_basketball/fdu_devils,/ncaa_basketball/fdu_devils
Ferris St Bulldogs,Ferris St ,Bulldogs,ncaab, team://ncaa_basketball/ferris_st_bulldogs,/ncaa_basketball/ferris_st_bulldogs
Ferrum Panthers,Ferrum,Panthers,ncaab, team://ncaa_basketball/ferrum_panthers,/ncaa_basketball/ferrum_panthers
Finlandia Lions,Finlandia,Lions,ncaab, team://ncaa_basketball/finlandia_lions,/ncaa_basketball/finlandia_lions
Fisher Falcons,Fisher,Falcons,ncaab, team://ncaa_basketball/fisher_falcons,/ncaa_basketball/fisher_falcons
Fisk Bulldogs,Fisk,Bulldogs,ncaab, team://ncaa_basketball/fisk_bulldogs,/ncaa_basketball/fisk_bulldogs
Fitchburg St Falcons,Fitchburg St ,Falcons,ncaab, team://ncaa_basketball/fitchburg_st_falcons,/ncaa_basketball/fitchburg_st_falcons
FIU Golden Panthers,FIU ,Golden Panthers,ncaab, team://ncaa_basketball/fiu_golden_panthers,/ncaa_basketball/fiu_golden_panthers
Flagler Saints,Flagler,Saints,ncaab, team://ncaa_basketball/flagler_saints,/ncaa_basketball/flagler_saints
Florida A&M Rattlers,Florida A&M ,Rattlers,ncaab, team://ncaa_basketball/florida_am_rattlers,/ncaa_basketball/florida_am_rattlers
Florida Atlantic Blue Wave,Florida Atlantic ,Blue Wave,ncaab, team://ncaa_basketball/florida_atlantic_blue_wave,/ncaa_basketball/florida_atlantic_blue_wave
Florida Christian Suns,Florida Christian ,Suns,ncaab, team://ncaa_basketball/florida_christian_suns,/ncaa_basketball/florida_christian_suns
Florida Gators,Florida,Gators,ncaab, team://ncaa_basketball/florida_gators,/ncaa_basketball/florida_gators
Florida Gulf Coast University Eagles,Florida Gulf Coast University Eagles,Florida Gulf Coast University Eagles,ncaab, team://ncaa_basketball/florida_gulf_coast_university_eagles,/ncaa_basketball/florida_gulf_coast_university_eagles
Florida Institute of Technology Panthers,Florida Institute of Technology Panthers,Florida Institute of Technology Panthers,ncaab, team://ncaa_basketball/florida_institute_of_technology_panthers,/ncaa_basketball/florida_institute_of_technology_panthers
Florida Memorial Lions,Florida Memorial Lions,Florida Memorial Lions,ncaab, team://ncaa_basketball/florida_memorial_lions,/ncaa_basketball/florida_memorial_lions
Florida Southern Moccasins,Florida Southern Moccasins,Florida Southern Moccasins,ncaab, team://ncaa_basketball/florida_southern_moccasins,/ncaa_basketball/florida_southern_moccasins
Florida St Seminoles,Florida St ,Seminoles,ncaab, team://ncaa_basketball/florida_st_seminoles,/ncaa_basketball/florida_st_seminoles
Fordham Rams,Fordham,Rams,ncaab, team://ncaa_basketball/fordham_rams,/ncaa_basketball/fordham_rams
Fort Hays St Tigers,Fort Hays St ,Tigers,ncaab, team://ncaa_basketball/fort_hays_st_tigers,/ncaa_basketball/fort_hays_st_tigers
Fort Lewis Skyhawks,Fort Lewis Skyhawks,Fort Lewis Skyhawks,ncaab, team://ncaa_basketball/fort_lewis_skyhawks,/ncaa_basketball/fort_lewis_skyhawks
Fort Valley St Wildcats,Fort Valley St ,Wildcats,ncaab, team://ncaa_basketball/fort_valley_st_wildcats,/ncaa_basketball/fort_valley_st_wildcats
Francis Marion Patriots,Francis Marion Patriots,Francis Marion Patriots,ncaab, team://ncaa_basketball/francis_marion_patriots,/ncaa_basketball/francis_marion_patriots
Franklin & Marshall Diplomats,Franklin & Marshall Diplomats,Franklin & Marshall Diplomats,ncaab, team://ncaa_basketball/franklin_marshall_diplomats,/ncaa_basketball/franklin_marshall_diplomats
Franklin Pierce Ravens,Franklin Pierce Ravens,Franklin Pierce Ravens,ncaab, team://ncaa_basketball/franklin_pierce_ravens,/ncaa_basketball/franklin_pierce_ravens
Freed-Hardeman Lions,Freed-Hardeman Lions,Freed-Hardeman Lions,ncaab, team://ncaa_basketball/freed_hardeman_lions,/ncaa_basketball/freed_hardeman_lions
Fresno Pacific Sunbirds,Fresno Pacific ,Sunbirds,ncaab, team://ncaa_basketball/fresno_pacific_sunbirds,/ncaa_basketball/fresno_pacific_sunbirds
Fresno St Bulldogs,Fresno St ,Bulldogs,ncaab, team://ncaa_basketball/fresno_st_bulldogs,/ncaa_basketball/fresno_st_bulldogs
Furman Paladins,Furman,Paladins,ncaab, team://ncaa_basketball/furman_paladins,/ncaa_basketball/furman_paladins
Gallaudet Bison,Gallaudet,Bison,ncaab, team://ncaa_basketball/gallaudet_bison,/ncaa_basketball/gallaudet_bison
Gannon Golden Knights,Gannon Golden Knights,Gannon Golden Knights,ncaab, team://ncaa_basketball/gannon_golden_knights,/ncaa_basketball/gannon_golden_knights
Gardner-Webb University Runnin' Bulldogs,Gardner-Webb University Runnin' Bulldogs,Gardner-Webb University Runnin' Bulldogs,ncaab, team://ncaa_basketball/gardner_webb_university_runnin_bulldogs,/ncaa_basketball/gardner_webb_university_runnin_bulldogs
Geneva Golden Tornadoes,Geneva Golden Tornadoes,Geneva Golden Tornadoes,ncaab, team://ncaa_basketball/geneva_golden_tornadoes,/ncaa_basketball/geneva_golden_tornadoes
George Mason University Patriots,George Mason University Patriots,George Mason University Patriots,ncaab, team://ncaa_basketball/george_mason_university_patriots,/ncaa_basketball/george_mason_university_patriots
Georgetown Hoyas,Georgetown,Hoyas,ncaab, team://ncaa_basketball/georgetown_hoyas,/ncaa_basketball/georgetown_hoyas
Georgetown KY Tigers,Georgetown KY ,Tigers,ncaab, team://ncaa_basketball/georgetown_ky_tigers,/ncaa_basketball/georgetown_ky_tigers
George Washington Colonials,George Washington ,Colonials,ncaab, team://ncaa_basketball/george_washington_colonials,/ncaa_basketball/george_washington_colonials
Georgia Bulldogs,Georgia,Bulldogs,ncaab, team://ncaa_basketball/georgia_bulldogs,/ncaa_basketball/georgia_bulldogs
Georgia College Bobcats,Georgia College Bobcats,Georgia College Bobcats,ncaab, team://ncaa_basketball/georgia_college_bobcats,/ncaa_basketball/georgia_college_bobcats
Georgia Southern Eagles,Georgia Southern ,Eagles,ncaab, team://ncaa_basketball/georgia_southern_eagles,/ncaa_basketball/georgia_southern_eagles
Georgia Southwestern Hurricanes,Georgia Southwestern Hurricanes,Georgia Southwestern Hurricanes,ncaab, team://ncaa_basketball/georgia_southwestern_hurricanes,/ncaa_basketball/georgia_southwestern_hurricanes
Georgia St Panthers,Georgia St ,Panthers,ncaab, team://ncaa_basketball/georgia_st_panthers,/ncaa_basketball/georgia_st_panthers
Georgia Tech Yellow Jackets,Georgia Tech ,Yellow Jackets,ncaab, team://ncaa_basketball/georgia_tech_yellow_jackets,/ncaa_basketball/georgia_tech_yellow_jackets
Gettysburg Bullets,Gettysburg,Bullets,ncaab, team://ncaa_basketball/gettysburg_bullets,/ncaa_basketball/gettysburg_bullets
Glenville St Pioneers,Glenville St ,Pioneers,ncaab, team://ncaa_basketball/glenville_st_pioneers,/ncaa_basketball/glenville_st_pioneers
Gonzaga Bulldogs,Gonzaga,Bulldogs,ncaab, team://ncaa_basketball/gonzaga_bulldogs,/ncaa_basketball/gonzaga_bulldogs
Goshen Maple Leafs,Goshen Maple Leafs,Goshen Maple Leafs,ncaab, team://ncaa_basketball/goshen_maple_leafs,/ncaa_basketball/goshen_maple_leafs
Goucher Gophers,Goucher,Gophers,ncaab, team://ncaa_basketball/goucher_gophers,/ncaa_basketball/goucher_gophers
Grace College,Grace,College,ncaab, team://ncaa_basketball/grace_college,/ncaa_basketball/grace_college
Grambling Tigers,Grambling,Tigers,ncaab, team://ncaa_basketball/grambling_tigers,/ncaa_basketball/grambling_tigers
Grand Canyon Antelopes,Grand Canyon Antelopes,Grand Canyon Antelopes,ncaab, team://ncaa_basketball/grand_canyon_antelopes,/ncaa_basketball/grand_canyon_antelopes
